,otherDFI,mnDFI,lmDFI,tokenDFI,erc20DFI,fundDFI,foundationDFI,burnedDFI,circDFI,totalDFI
2021-02-20,78236261.86691079,317600998.0323387,27478953.85730031,12003623.013134977,,10178699.09608917,273714000.0009,,435319836.7696847,719212535.8666738
2021-02-21,78475942.93081616,317661073.87751514,27630482.7413745,11977446.65983597,,10224687.99608917,273714000.0009,,435744946.2095418,719683634.2065309
2021-02-22,78577393.15820563,317716154.4604509,28002916.769024458,11854806.87295233,,10270059.99608917,273714000.0009,,436151271.2606333,720135331.2576225
2021-02-23,78709808.48683009,317774205.31419635,28281128.246904586,11804399.24606296,,10315829.99608917,273714000.0009,,436569541.293994,720599371.2909832
2021-02-24,78998693.30913618,317831581.0302961,28177066.34803083,11992569.984497182,,10362774.09608917,273714000.0009,,436999910.67196023,721076684.7689494
2021-02-25,79188783.98785305,317895166.75287855,28392344.67600895,11915122.26984833,,10406454.59608917,273714000.0009,,437391417.6865889,721511872.283578
2021-02-26,79267764.14731187,317962937.8277509,28680237.675462425,11901749.53529856,,10453717.09608917,273714000.0009,,437812689.1858238,721980406.282813
2021-02-27,79455612.51840892,318031383.63583857,28973846.37385131,11736434.697412102,,10499148.79608917,273714000.0009,,438197277.2255109,722410426.0225
2021-02-28,79833246.12023896,318086059.3990867,29354325.638858445,11363879.63905331,,10544620.29608917,273714000.0009,,438637510.7972374,722896131.0942266
2021-03-01,79621075.60182986,318136415.0353335,29546189.74700466,11241051.76207254,500000.0,10589454.99608917,273714000.0009,0.0,439044732.14624065,723348187.1432297
2021-03-02,76581355.55819343,321410122.87650734,29869626.8997502,11127839.754243078,500000.0,10635105.59608917,273714000.0009,0.0,439488945.08869404,723838050.6856833
2021-03-03,113012988.17457192,285165891.5280789,30079514.21150802,11141657.528961036,500000.0,10681790.99608917,273714000.0009,0.0,439900051.44311994,724295842.440109
2021-03-04,60385250.29718471,338065647.4133162,30274672.87113366,11058246.71199369,500000.0,10727322.19608917,273714000.0009,0.0,440283817.2936283,724725139.4906174
2021-03-05,196345606.81398955,202534497.49013028,30421525.27333677,11035245.714791998,500000.0,10770505.19608917,273714000.0009,0.0,440836875.2922486,725321380.4892378
2021-03-06,146026431.97365442,252998983.63012287,30582990.10179163,10908252.60717845,500000.0,10816832.39608917,273714000.0009,0.0,441016658.31274736,725547490.7097366
2021-03-07,86905151.16456105,312721413.63955086,30979284.135800455,10719192.855977232,500000.0,10862841.19608917,273714000.0009,0.0,441825041.7958896,726401882.9928787
2021-03-08,69997240.02965815,329486055.344205,31139307.35291876,10685079.86261715,500000.0,10908929.59608917,273714000.0009,0.0,441807682.58939904,726430612.1863883
2021-03-09,69927158.17250215,329842635.2339826,31390872.91345225,10569664.559475372,500000.0,10955674.69608917,273714000.0009,0.0,442230330.8794124,726900005.5764015
2021-03-10,69566198.34944537,330155298.2833464,31513102.489818845,10917698.12704379,500000.0,11001822.79608917,273714000.0009,0.0,442652297.2496544,727368120.0466435
2021-03-11,69658071.31777363,330459052.0886601,31692717.50151844,10741896.244125431,500000.0,11046637.59608917,273714000.0009,0.0,443051737.1520776,727812374.7490668
2021-03-12,69349904.58549461,330809150.3985786,31939384.43706009,10834816.54768535,500000.0,11092387.69608917,273714000.0009,0.0,443433255.9688186,728239643.6658077
2021-03-13,92874550.10658686,307528894.22124475,32235592.187775202,10715735.89563567,500000.0,11138376.59608917,273714000.0009,0.0,443854772.4112425,728707149.0082316
2021-03-14,92820158.14560723,307877293.484535,32492537.55652083,10563946.10574447,500000.0,11183708.79608917,273714000.0009,0.0,444253935.2924075,729151644.0893967
2021-03-15,92711537.62583852,308156267.2344243,32996652.059257478,10295837.894131929,500000.0,11228165.39608917,273714000.0009,0.0,444660294.8136523,729602460.2106414
2021-03-16,93788937.8518616,307364780.04271376,33193714.73077767,10214096.093520807,500000.0,11273915.49608917,273714000.0009,0.0,445061528.71887386,730049444.215863
2021-03-17,93687803.28580192,307678658.98053825,33520882.49462995,10073632.309151009,500000.0,11320222.79608917,273714000.0009,0.0,445460977.07012105,730495199.8671103
2021-03-18,93701218.47692798,308007145.4791571,33665257.969872355,9841996.729987867,500000.0,11365793.79608917,273714000.0009,0.0,445715618.6559453,730795412.4529345
2021-03-19,94114286.04684718,308322507.8908136,33983570.29450013,10430704.240790052,500000.0,11412339.89608917,273714000.0009,0.0,447351068.47295094,732477408.36994
2021-03-20,94089842.30173364,308620456.93355453,32972806.874235407,10281257.30629159,500000.0,11456298.99608917,273714000.0009,0.0,446464363.4158151,731634662.4128042
2021-03-21,93846633.72033376,308982860.9752549,33659692.74727162,9917287.297617355,500000.0,11503939.59608917,273714000.0009,0.0,446906474.7404776,732124414.3374667
2021-03-22,93511304.39121763,309285677.22600424,34174517.084476426,9824041.29605764,500000.0,11548754.39608917,273714000.0009,0.0,447295539.99775594,732558294.3947451
2021-03-23,93004381.0363358,309603849.37571967,34806570.474769644,9820497.563307537,500000.0,11595797.99608917,273714000.0009,0.0,447735298.45013267,733045096.4471219
2021-03-24,92387142.10541064,309934768.49496824,36292580.22255381,9009415.46006889,500000.0,11641727.19608917,273714000.0009,0.0,448123906.28300154,733479633.4799907
2021-03-25,92394728.61516084,310241357.0367232,36318081.836720854,9117059.20876541,500000.0,11687079.29608917,273714000.0009,0.0,448571226.6973703,733972305.9943595
2021-03-26,92042098.4272745,310554310.923281,37217654.73077123,8348341.45324302,800000.0,11733346.79608917,273714000.0009,0.0,448962405.5345698,734409752.331559
2021-03-27,91993873.95769624,310895883.92185736,37499676.3564395,8164583.554512071,800000.0,11775748.56965951,273714000.0009,0.0,449354017.7905052,734843766.3610647
2021-03-28,91981853.43890704,311255702.1603111,37611155.68824494,8137412.248626951,800000.0,11820026.06965951,273714000.0009,0.0,449786123.53609,735320149.6066495
2021-03-29,91905296.4700636,311614200.5950447,37797812.85026658,8115033.025840099,800000.0,11867089.56965951,273714000.0009,0.0,450232342.941215,735813432.5117745
2021-03-30,91874391.52013116,312049275.1471175,37957124.54467828,7940438.785930259,800000.0,11913635.66965951,273714000.0009,0.0,450621229.9978572,736248865.6684167
2021-03-31,92026599.59101295,312362344.43173844,38081456.48016185,7752095.24618791,800000.0,11959863.36965951,273714000.0009,0.0,451022495.74910116,736696359.1196606
2021-04-01,92084632.44732931,312647843.0785732,38300387.83070536,7573197.009996189,800000.0,12004936.86965951,273714000.0009,0.0,451406060.36660403,737124997.2371635
2021-04-02,92092544.37502016,312967121.79102254,38581795.80705381,7435231.29228773,800000.0,12052060.06965951,273714000.0009,0.0,451876693.2653842,737642753.3359437
2021-04-03,92095017.05121398,313285455.25012773,38685960.67553086,7412248.506765401,800000.0,12099024.06965951,273714000.0009,0.0,452278681.483638,738091705.5541975
2021-04-04,92177312.95335846,313595303.5183716,38964998.15148353,7145182.099113651,800000.0,12144774.16965951,273714000.0009,0.0,452682796.72232723,738541570.8928866
2021-04-05,92453010.80214672,313617051.03809714,39095928.22184551,2566374.5263378806,800000.0,12183559.26965951,273714000.0009,0.0,448532364.58842725,734429923.8589867
2021-04-06,92137560.37405272,314165007.650432,39292732.104991645,7024161.30536575,800000.0,12225906.46965951,273714000.0009,0.0,453419461.4348421,739359367.9054016
2021-04-07,92049710.96327049,314459832.8192525,39811830.3734559,6713788.824995391,800000.0,12272372.96965951,273714000.0009,0.0,453835162.98097426,739821535.9515338
2021-04-08,92055675.50593065,314786432.8700993,39971086.71999379,6634466.47501963,800000.0,12317685.26965951,273714000.0009,0.0,454247661.5710434,740279346.8416028
2021-04-09,92014926.00418028,315153032.54170656,40074241.01273289,6621792.316209278,800000.0,12362898.06965951,273714000.0009,0.0,454663991.87482905,740740889.9453886
2021-04-10,92016651.4939203,315503421.3944044,39972228.63346084,6756627.661575112,800000.0,12408807.36965951,273714000.0009,0.0,455048929.1833607,741171736.5539201
2021-04-11,92493443.20591936,315812575.8560592,39650524.79422091,6720292.3719628295,800000.0,12454497.76965951,273714000.0009,0.0,455476836.22816235,741645333.9987218
2021-04-12,92426261.43662477,316166184.5611676,39932126.88170695,6559187.775764201,800000.0,12500725.46965951,273714000.0009,0.0,455883760.65526354,742098486.125823
2021-04-13,92541664.61910962,316540739.5482214,39970007.08189922,6458829.4818404,800000.0,12547172.06965951,273714000.0009,0.0,456311240.73107064,742572412.8016301
2021-04-14,92299913.51227789,316893269.06157273,40356551.572358064,6366888.249184391,800000.0,12593240.56965951,273714000.0009,0.0,456716622.3953931,743023862.9659526
2021-04-15,92139769.97379205,317262694.1700107,40600755.14051866,6296755.33643152,800000.0,12638950.86965951,273714000.0009,0.0,457099974.62075293,743452925.4913124
2021-04-16,92062426.7433294,317593572.62214845,40800225.1339838,6269163.38888252,800000.0,12684899.96965951,273714000.0009,0.0,457525387.88834417,743924287.8589036
2021-04-17,92020738.39003168,317880432.67667913,40932345.22538798,6269859.959482611,800000.0,12730212.26965951,273714000.0009,0.0,457903376.25158143,744347588.522141
2021-04-18,92071326.53400736,318190531.7830436,41080747.772316955,6187168.501516339,800000.0,12775982.26965951,273714000.0009,0.0,458329774.59088427,744819756.8614438
2021-04-19,92029768.60200442,318491045.0200511,41240540.06765072,6170120.26520785,800000.0,12820399.06965951,273714000.0009,0.0,458731473.9549141,745265873.0254736
2021-04-20,91999848.34744282,318847624.2197828,41451155.40593353,6055968.58227891,800000.0,12867164.06965951,273714000.0009,0.0,459154596.55543804,745735760.6259975
2021-04-21,91954235.6378162,319139748.6381998,41727157.79534301,5921761.15568304,800000.0,12913252.46965951,273714000.0009,0.0,459542903.2270421,746170155.6976016
2021-04-22,136561202.8660966,274686671.7785014,42275541.80334638,5658915.737824581,800000.0,12958644.36965951,273714000.0009,1.008125,459982332.18576896,746654977.5644534
2021-04-23,211777675.68581027,200010572.65425488,42245658.34019232,5560348.311257621,800000.0,13004056.16965951,273714000.0009,1.008125,460394254.99151504,747112312.1701995
2021-04-24,255675448.85439187,157009426.68742573,42062513.22253791,5388520.07770449,800000.0,12968806.71952054,273714000.0009,1.008125,460935908.84206,747618716.5706055
2021-04-25,100063928.89270082,157347807.09980267,41705951.85654765,5408312.02679509,800000.0,13015392.61952054,273714000.0009,156000001.008125,305325999.87584627,748055393.5043919
2021-04-26,100103075.6955877,157720335.9288092,41899308.23853723,5209377.564401879,800000.0,13061719.81952054,273714000.0009,156000001.008125,305732097.427336,748507818.2558815
2021-04-27,100437770.77520928,158151902.0854075,41576545.63981727,13193548.906427588,800000.0,13108007.21952054,265713999.9006,156000001.008125,314159767.40686166,748981775.5351071
2021-04-28,100623770.970952,158440382.41418892,41609902.01085141,13102032.12112652,800000.0,13153936.41952054,265713999.9006,156000001.008125,314576087.5171188,749444024.8453643
2021-04-29,100656009.51971623,158828312.18930978,41695388.21590396,13020704.24333889,800000.0,13199925.31952054,265713999.9006,156000001.008125,315000414.16826886,749914340.3965144
2021-04-30,100647900.52504914,159251381.5068645,41785075.06251628,12918360.60000194,800000.0,13244998.81952054,265713999.9006,156000001.008125,315402717.69443184,750361717.4226773
2021-05-01,100875326.45338015,159561962.22947282,41987960.398111,0.0,800000.0,13291544.91952054,265713999.9006,156000001.008125,303225249.08096397,738230794.9092095
2021-05-02,100945542.65863612,159907335.93553063,42016538.023315035,12556470.756894264,800000.0,13336976.61952054,265713999.9006,156000001.008125,316225887.37437606,751276864.9026215
2021-05-03,100983038.78727783,160226364.5147146,42251512.89541194,12352907.2219725,800000.0,13381652.11952054,265713999.9006,156000001.008125,316613823.41937685,751709476.4476223
2021-05-04,100559849.53657097,160905827.7810406,42298232.55794816,12467373.469809989,800000.0,13426904.71952054,265713999.9006,156000001.008125,317031283.34536976,752172188.9736154
2021-05-05,100667318.00934096,161334713.7790559,42402929.26680873,12244563.545302233,800000.0,13473072.71952054,265713999.9006,156000001.008125,317449524.6005078,752636598.2287533
2021-05-06,100424832.56861567,162163735.1500594,42230442.19800202,12187129.740829982,800000.0,13518962.11952054,265713999.9006,156000001.008125,317806139.6575071,753039102.6857526
2021-05-07,100716190.01882032,162509920.0430302,42289364.761345774,12062868.503858728,800000.0,13564592.81952054,265713999.9006,156000001.008125,318378343.327055,753656937.0553005
2021-05-08,96536631.3907226,167135367.90746775,42317660.953291215,11866266.09131848,800000.0,13609467.31952054,265713999.9006,156000001.008125,318655926.3428001,753979394.5710456
2021-05-09,92611923.89731786,171509270.0114251,42395186.97179878,11792209.100324469,800000.0,13656053.21952054,265713999.9006,156000001.008125,319108589.9808662,754478644.1091118
2021-05-10,91257854.09411453,173393916.23104823,42562539.590677455,11480784.48449108,800000.0,13701445.11952054,265713999.9006,156000001.008125,319495094.4003313,754910540.428577
2021-05-11,91346186.68240435,173734701.33270094,42695622.243470006,11315137.234952657,800000.0,13746717.61952054,265713999.9006,156000001.008125,319891647.49352795,755352366.0217736
2021-05-12,91460564.81417716,174047365.54454118,42754125.1290886,11219523.16897332,800000.0,13793243.81952054,265713999.9006,156000001.008125,320281578.65678024,755788823.3850257
2021-05-13,91540243.43420196,174358275.58371544,43021102.39710427,11021056.020703802,800000.0,13839571.01952054,265713999.9006,156000001.008125,320740677.43572545,756294249.363971
2021-05-14,92177697.13506804,174746485.70185828,42604843.30321324,10818788.04446129,800000.0,13885559.91952054,265713999.9006,156000001.008125,321147814.1846009,756747375.0128465
2021-05-15,92414586.1160217,174871954.04929233,42810462.23090932,10685003.50877182,800000.0,13931111.01952054,265713999.9006,156000001.008125,321582005.9049952,757227117.8332407
2021-05-16,92709805.06819914,175062940.252735,43150227.83727999,10231409.81966476,800000.0,13977239.21952054,265713999.9006,156000001.008125,321954382.97787887,757645623.1061244
2021-05-17,92709805.06819914,175062940.252735,43150227.83727999,10231409.81966476,800000.0,13977239.21952054,265713999.9006,156000001.008125,321954382.97787887,757645623.1061244
2021-05-17,91834333.43348488,176316769.20815262,43306461.36134787,10127321.424333371,800000.0,14021675.91952054,265713999.9006,156000001.008125,322384885.42731875,758120562.2555642
2021-05-18,91751482.98720215,176723412.88194162,43477149.32075655,10065855.7973367,800000.0,14067585.21952054,265713999.9006,156000001.008125,322817900.98723704,758599487.1154826
2021-05-18,91751482.98720215,176723412.88194162,43477149.32075655,10065855.7973367,800000.0,14067585.21952054,265713999.9006,156000001.008125,322817900.98723704,758599487.1154826
2021-05-19,91041263.64735104,177128541.05905345,44439295.46048026,9810823.67455628,800000.0,14113275.61952054,265713999.9006,156000001.008125,323219923.84144104,759047200.3696866
2021-05-19,91041263.64735104,177128541.05905345,44439295.46048026,9810823.67455628,800000.0,14113275.61952054,265713999.9006,156000001.008125,323219923.84144104,759047200.3696866
2021-05-20,91534316.74142008,177649567.18735677,43884495.00694148,9698390.02351979,800000.0,14158329.21952054,265713999.9006,156000001.008125,323566768.9592382,759439099.0874836
2021-05-20,91534316.74142008,177649567.18735677,43884495.00694148,9698390.02351979,800000.0,14158329.21952054,265713999.9006,156000001.008125,323566768.9592382,759439099.0874836
2021-05-21,91478319.8769826,178127041.78620753,43932255.562184185,9751857.62611146,800000.0,14205551.91952054,265713999.9006,156000001.008125,324089474.8514857,760009027.6797314
2021-05-21,91478319.8769826,178127041.78620753,43932255.562184185,9751857.62611146,800000.0,14205551.91952054,265713999.9006,156000001.008125,324089474.8514857,760009027.6797314
2021-05-22,91478319.8769826,178127041.78620753,43932255.562184185,9751857.62611146,800000.0,14205551.91952054,265713999.9006,156000001.008125,324089474.8514857,760009027.6797314
2021-05-22,91139971.61296244,178673164.89961323,44212414.17026123,9696415.380518612,800000.0,14251162.71952054,265713999.9006,156000001.008125,324521966.0633555,760487129.691601
2021-05-23,91139971.61296244,178673164.89961323,44212414.17026123,9696415.380518612,800000.0,14251162.71952054,265713999.9006,156000001.008125,324521966.0633555,760487129.691601
2021-05-23,90855119.8392989,179304157.38530725,44353766.780462034,9629880.49421382,800000.0,14297609.31952054,265713999.9006,156000001.008125,324942924.499282,760954534.7275276
2021-05-24,90855119.8392989,179304157.38530725,44353766.780462034,9629880.49421382,800000.0,14297609.31952054,265713999.9006,156000001.008125,324942924.499282,760954534.7275276
2021-05-24,90783195.29852705,179906676.61139202,44070024.22795557,9814727.009322852,800000.0,14342682.81952054,265713999.9006,156000011.008125,325374623.1471975,761431316.875443
2021-05-25,90783195.29852705,179906676.61139202,44070024.22795557,9814727.009322852,800000.0,14342682.81952054,265713999.9006,156000011.008125,325374623.1471975,761431316.875443
2021-05-25,90549208.86469488,180436529.72330743,44215422.21864953,9728840.615571572,800000.0,14389228.91952054,265713999.9006,156000011.008125,325730001.4222234,761833241.250469
2021-05-26,90549208.86469488,180436529.72330743,44215422.21864953,9728840.615571572,800000.0,14389228.91952054,265713999.9006,156000011.008125,325730001.4222234,761833241.250469
2021-05-26,90722820.689303,180780262.99823952,44366922.407661505,9422487.636975309,800000.0,14435078.51952054,265713999.9006,156000031.008125,326092493.7321793,762241603.1604247
2021-05-27,90673223.1805042,181303716.3122222,44482868.432580076,9303990.81659615,800000.0,14480928.11952054,265713999.9006,156000051.008125,326563798.74190265,762758777.7701483
2021-05-28,90601975.4603676,181669617.2542697,44723025.52278973,9157374.933635892,800000.0,14523852.41952054,265713999.9006,156000061.008125,326951993.1710629,763189906.4993083
2021-05-29,90615466.1126487,182083374.5421434,44725837.73678694,9159004.15269813,800000.0,14570896.01952054,265713999.9006,156000071.008125,327383682.5442772,763668649.4725227
2021-05-30,90552760.75280371,182430776.1231769,45088529.39843093,8941425.74306279,800000.0,14617382.41952054,265713999.9006,156000071.008125,327813492.01747435,764144945.3457198
2021-05-31,90604893.52718876,182727496.86147943,45073204.49813691,8997409.67220563,800000.0,14661799.21952054,265713999.9006,156000071.008125,328203004.55901074,764578874.6872563
2021-06-01,90675816.40401584,183093763.20864084,45468554.89590126,8576146.25744138,800000.0,14707449.81952054,265713999.9006,156000141.008125,328614280.7659994,765035871.4942448
2021-06-02,90420814.76202388,183556495.664502,45854697.90250883,8365498.163375819,800000.0,14751090.51952054,265713999.9006,156000201.008125,328997506.49241054,765462797.920656
2021-06-03,90285731.97116227,183998720.0176001,46004324.88451394,8325536.0994,800000.0,14797377.91952054,265713999.9006,156000201.273825,329414312.9726763,765925892.0666218
2021-06-03,90285731.97116227,183998720.0176001,46004324.88451394,8325536.0994,800000.0,14797377.91952054,265713999.9006,156000201.273825,329414312.9726763,765925892.0666218
2021-06-04,90486341.4226624,184121771.4494519,46287213.835039824,0.0,800000.0,14826348.42082454,0.001,156000201.273825,321695326.70715415,492521876.40280366
2021-06-04,90486341.4226624,184121771.4494519,46287213.835039824,0.0,800000.0,14826348.42082454,0.001,156000201.273825,321695326.70715415,492521876.40280366
2021-06-06,90280521.80967176,185444681.2798386,46745759.01248793,0.0,800000.0,14989465.40055254,0.001,157426081.66817698,323270962.10199827,495686509.1717278
2021-06-06,90280521.80967176,185444681.2798386,46745759.01248793,0.0,800000.0,14989465.40055254,0.001,157426081.66817698,323270962.10199827,495686509.1717278
2021-06-07,90280521.80967176,185444681.2798386,46797875.80073578,0.0,800000.0,14989465.40055254,0.001,157426081.66817698,323323078.8902461,495738625.9599756
2021-06-08,90276619.94615318,185436296.1929776,47541736.24469335,0.0,800000.0,15000542.71800054,0.001,158500000.0,324054652.3838241,497555195.1028246
2021-06-09,89807670.11208177,186057436.64209223,47999913.39021945,4976081.210047579,800000.0,15062472.28089654,0.001,159679859.6792436,329641101.35444105,504383433.3155812
2021-06-10,89583448.96812081,186391919.5461681,48514776.444717385,0.0,800000.0,15115074.62317654,0.001,160419802.3858631,325290144.9590063,500825021.9690459
2021-06-11,89050814.45272888,187445479.9761693,49205441.71822521,0.0,800000.0,15171674.34572054,0.001,161567492.62290823,326501736.14712334,503240903.1167521
2021-06-11,89050814.45272888,187445479.9761693,49205441.71822521,0.0,800000.0,15171674.34572054,0.001,161567492.62290823,326501736.14712334,503240903.1167521
